dest_column,airtable_field_id,airtable_name,airtable_type,notes
check_1_co_counsel_fee_opb5hf,fldz457FyRnOpB5hF,Check (1) Co-Counsel Fee %,percent,copy stored percent as-is; blank stays blank
check_1_assoc_co_fee_bwlyg3,fldbRqkYGkbbwlYg3,Check (1) Assoc. Co Fee %,percent,copy stored percent as-is; blank stays blank
check_1_rs_bonus_2tida6,fldrIeNrbV72TIda6,Check (1) RS Bonus %,percent,copy stored percent as-is; blank stays blank
rs_bonus,fldVPA9sJAAKaQ8yV,RS Bonus %,singleSelect,copy stored choice as-is; blank stays blank
litigation_fees_and_costs,fldJKTtdGbYnvPOua,Litigation Fees & Costs,formula,formula; dest exists; stay nullable until P37; do not recompute money.
check_1_settl_client_net_disb,fldhZdUbHgwKCqshI,Check (1) Settl. Client Net Disb.,formula,formula; dest exists; stay nullable until P37; do not recompute money.
check_2_deposit_date,fldtsoh5JesagrJ2X,Check (2) Deposit Date,date,copy stored date as-is; blank stays blank
check_2_co_counsel_fee,fld51tEmzz5lh4jIH,Check (2) Co-Counsel Fee %,percent,copy stored percent as-is; blank stays blank
check_2_assoc_co_fee,fldZlX65y3vO4uSX0,Check (2) Assoc. Co Fee %,percent,copy stored percent as-is; blank stays blank
check_2_rs_bonus,fldvsbz7wfyPD7Kns,Check (2) RS Bonus %,percent,copy stored percent as-is; blank stays blank
check_2_legal_fee_szqe6j,fld6QmAnIlFsZqe6j,Check (2) Legal Fee,formula,formula; dest exists; stay nullable until P37; do not recompute money.
check_2_client_net_disb,fldZ6GYNS9SmLLXYR,Check (2) Client Net Disb.,formula,formula; dest exists; stay nullable until P37; do not recompute money.
check_2_co_counsel_fee_hghzxa,fldbFw1Kb6JhGHZXa,Check (2) Co-Counsel Fee,formula,formula; dest exists; stay nullable until P37; do not recompute.
check_2_assoc_co_fee_9lifwm,fldygWrBS9c9LiFwm,Check (2) Assoc. Co. Fee,formula,formula; dest exists; stay nullable until P37; do not recompute.
check_2_rs_bonus_admkgy,fldqSIYJWZTAdMKgy,Check (2) RS Bonus,formula,formula; dest exists; stay nullable until P37; do not recompute.
check_2_clg_net,fldQ85zlCXrJyn8gh,Check (2) CLG Net,formula,formula; dest exists; stay nullable until P37; do not recompute money.
check_2_settl_client_net_disb,fld9jJqBj05NSvCwW,Check (2) Settl. Client Net Disb.,formula,formula; dest exists; stay nullable until P37; do not recompute money.
check_3_deposit_date,fldJ9AKwMGqOINP07,Check (3) Deposit Date,date,copy stored date as-is; blank stays blank
check_3_type,fldi1Zqc5orHiVG8u,Check (3) Type,singleSelect,copy stored choice as-is; blank stays blank
check_3_amount,fldka6NICoPPzDvVx,Check (3) Amount,currency,copy stored dollar as-is; blank stays blank; never invent a dollar
check_3_legal_fee,fldkS3JxRx1jS68xq,Check (3) Legal Fee %,percent,copy stored percent as-is; blank stays blank
check_3_co_counsel_fee,fldRFGd51HR0neurm,Check (3) Co-Counsel Fee %,percent,copy stored percent as-is; blank stays blank
check_3_assoc_co_fee,fldQnkHYmt5qj9PFn,Check (3) Assoc. Co Fee %,percent,copy stored percent as-is; blank stays blank
check_3_rs_bonus,fldF3mFKQwwptorIx,Check (3) RS Bonus %,percent,copy stored percent as-is; blank stays blank
check_3_legal_fee_i9ooxd,fld8XaGfMtfi9OOxd,Check (3) Legal Fee,formula,formula; dest exists; stay nullable until P37; do not recompute money.
check_3_client_net_disb,fld2vfb4VywG0rCIX,Check (3) Client Net Disb.,formula,formula; dest exists; stay nullable until P37; do not recompute money.
check_3_co_counsel_fee_zfpkb2,fldmTjI6arXZfpKB2,Check (3) Co-Counsel Fee,formula,formula; dest exists; stay nullable until P37; do not recompute.
check_3_assoc_co_fee_im7hpx,fldOy0LC6mCim7hpX,Check (3) Assoc. Co. Fee,formula,formula; dest exists; stay nullable until P37; do not recompute.
check_3_rs_bonus_udfjxm,fldkRHc8YQ5udfjxm,Check (3) RS Bonus,formula,formula; dest exists; stay nullable until P37; do not recompute.
check_3_clg_net,fldKy1ZOYK6vbkalP,Check (3) CLG Net,formula,formula; dest exists; stay nullable until P37; do not recompute money.
check_3_settl_client_net_disb,fldXTWDNnVdGGpzNY,Check (3) Settl. Client Net Disb.,formula,formula; dest exists; stay nullable until P37; do not recompute money.
check_4_deposit_date,fldtFO47hjpTEEtS5,Check (4) Deposit Date,date,copy stored date as-is; blank stays blank
check_4_type,fldpybkzIX92jk5CR,Check (4) Type,singleSelect,copy stored choice as-is; blank stays blank
check_4_amount,fldgIqp1yQu7sZPzX,Check (4) Amount,currency,copy stored dollar as-is; blank stays blank; never invent a dollar
check_4_legal_fee,fldNi6IziheIDwIwL,Check (4) Legal Fee %,percent,copy stored percent as-is; blank stays blank
check_4_co_counsel_fee,fldSiry5IZJyXkHpE,Check (4) Co-Counsel Fee %,percent,copy stored percent as-is; blank stays blank
check_4_assoc_co_fee,fldo7Xn9rwLpT0djl,Check (4) Assoc. Co Fee %,percent,copy stored percent as-is; blank stays blank
check_4_rs_bonus,flddYQI4uQio7Mxd8,Check (4) RS Bonus %,percent,copy stored percent as-is; blank stays blank
check_4_legal_fee_ya5yoq,fld6JtJ4gGWya5yOQ,Check (4) Legal Fee,formula,formula; dest exists; stay nullable until P37; do not recompute money.
check_4_client_net_disb,fldKuunsf5LXrl7ai,Check (4) Client Net Disb.,formula,formula; dest exists; stay nullable until P37; do not recompute money.
check_4_co_counsel_fee_dxoy1o,fld5n7AaCOkDxoy1O,Check (4) Co-Counsel Fee,formula,formula; dest exists; stay nullable until P37; do not recompute.
check_4_assoc_co_fee_fpy85s,fldDHChSRwVFPY85S,Check (4) Assoc. Co Fee,formula,formula; dest exists; stay nullable until P37; do not recompute.
check_4_rs_bonus_dnzmsr,fldEv9sDCAuDnZmSR,Check (4) RS Bonus,formula,formula; dest exists; stay nullable until P37; do not recompute.
check_4_clg_net,fldP8TJGADzqaFjMI,Check (4) CLG Net,formula,formula; dest exists; stay nullable until P37; do not recompute money.
check_4_settl_client_net_disb,fldPdcGbZdPqwCphZ,Check (4) Settl. Client Net Disb.,formula,formula; dest exists; stay nullable until P37; do not recompute money.
check_5_deposit_date,fldeh7xvWxPcvCJmm,Check (5) Deposit Date,date,copy stored date as-is; blank stays blank
check_5_type,fldNZlxdtBmsX2nXH,Check (5) Type,singleSelect,copy stored choice as-is; blank stays blank
check_5_amount,flde0edr469jyHAus,Check (5) Amount,currency,copy stored dollar as-is; blank stays blank; never invent a dollar
check_5_legal_fee,fldV2TweziVxYue9Z,Check (5) Legal Fee %,percent,copy stored percent as-is; blank stays blank
check_5_co_counsel_fee,fldnchIUmIsBkrWBg,Check (5) Co-Counsel Fee %,percent,copy stored percent as-is; blank stays blank
check_5_assoc_co_fee,fldfJJrOhaHixpELB,Check (5) Assoc. Co Fee %,percent,copy stored percent as-is; blank stays blank
check_5_rs_bonus,fldkJK3LinxJHKHzU,Check (5) RS Bonus %,percent,copy stored percent as-is; blank stays blank
check_5_legal_fee_cqjbxi,fldaImhnDcvCqJbXI,Check (5) Legal Fee,formula,formula; dest exists; stay nullable until P37; do not recompute money.
check_5_client_net_disb,fldoWz3IC4mYPoMvj,Check (5) Client Net Disb.,formula,formula; dest exists; stay nullable until P37; do not recompute money.
check_5_co_counsel_fee_aeng4e,fld8SAZUR1KAENg4e,Check (5) Co-Counsel Fee,formula,formula; dest exists; stay nullable until P37; do not recompute.
check_5_assoc_co_fee_nerzsd,fldJ3ut70XbnERZsD,Check (5) Assoc. Co. Fee,formula,formula; dest exists; stay nullable until P37; do not recompute.
check_5_rs_bonus_ejo79s,fldSKiOioZYeJo79s,Check (5) RS Bonus,formula,formula; dest exists; stay nullable until P37; do not recompute.
rp_fee_split,fldWwfkOhdVPCvagV,RP Fee Split %,singleSelect,copy stored choice as-is; blank stays blank
check_1_rp_fee_split,fldO1gN4NEDZlRcj7,Check (1) RP Fee Split %,percent,copy stored percent as-is; blank stays blank
check_2_rp_fee_split,fldTOF52xB03obvCB,Check (2) RP Fee Split %,percent,copy stored percent as-is; blank stays blank
check_3_rp_fee_split,fldF8moymnpe4RsBw,Check (3) RP Fee Split %,percent,copy stored percent as-is; blank stays blank
check_4_rp_fee_split,fldiYpAqxs14tN3cR,Check (4) RP Fee Split %,percent,copy stored percent as-is; blank stays blank
check_5_rp_fee_split,fldJfL6weYF0ranvD,Check (5) RP Fee Split %,percent,copy stored percent as-is; blank stays blank
check_1_rp_fee_split_nudxhk,fldHXQvKodKnUDxHK,Check (1) RP Fee Split,formula,formula; dest exists; stay nullable until P37; do not recompute money.
check_2_rp_fee_split_rqfdcf,fldXyUpUvKBrqFdCF,Check (2) RP Fee Split,formula,formula; dest exists; stay nullable until P37; do not recompute money.
check_3_rp_fee_split_rmedsj,flddeK8vNAdRMEdsj,Check (3) RP Fee Split,formula,formula; dest exists; stay nullable until P37; do not recompute money.
check_4_rp_fee_split_6dd0bl,fldn3iXnB6X6dd0bL,Check (4) RP Fee Split,formula,formula; dest exists; stay nullable until P37; do not recompute money.
check_5_rp_fee_split_3o3lpn,fldKhhbRblq3O3lpN,Check (5) RP Fee Split,formula,formula; dest exists; stay nullable until P37; do not recompute money.
check_5_clg_net,fldXxSpPfNIPe67ji,Check (5) CLG Net,formula,formula; dest exists; stay nullable until P37; do not recompute money.
check_5_settl_client_net_disb,fldlCTh67XPKTfH8L,Check (5) Settl. Client Net Disb.,formula,formula; dest exists; stay nullable until P37; do not recompute money.
sum_of_checks_received,fldDs0prFMjsWSsjn,SUM of Checks Received,formula,formula; dest exists; stay nullable until P37; do not recompute money.
insurance_co,fld5QvuJUg7oo6MMR,Insurance Co.,formula,formula; dest exists; stay nullable until P37; do not recompute.
dol,fld5Bpelzb1PObKlX,DOL,formula,formula; dest exists; stay nullable until P37; do not recompute.
claim_no,fldWU9dzHd9decehm,Claim No.,formula,formula; dest exists; stay nullable until P37; do not recompute.
settlement_statement_sent,fldPZMyQ8V1hr2QlY,Settlement Statement Sent,checkbox,copy stored checkbox as-is; blank stays blank
co_counsel_attorney_and_staff_from_conveyor_users_2,fldeHuj7SaBHB20wi,Co-Counsel Attorney & Staff (from Conveyor Users 2),multipleLookupValues,Airtable lookup; copy current value as-is; blank stays blank; do not recompute
clg_staff_from_conveyor_users_2,fldOa6h1aS7LDBq6u,CLG Staff (from Conveyor Users 2),multipleLookupValues,Airtable lookup; copy current value as-is; blank stays blank; do not recompute
clg_demo_staff_from_conveyor_users_2,fldeokPYlCBnY2hIT,CLG Demo Staff (from Conveyor Users 2),multipleLookupValues,Airtable lookup; copy current value as-is; blank stays blank; do not recompute
rs_email,fldtuQqgIyGHS82ap,RS Email,formula,formula; dest exists; stay nullable until P37; do not recompute.
appraisers_from_appraiser_user,fldrBU1MCHTXM2cUs,Appraisers (from Appraiser User),multipleLookupValues,Airtable lookup; copy current value as-is; blank stays blank; do not recompute
building_consultant_from_building_consultant_user,fldEaMk20mXNKDDoY,Building Consultant (from Building Consultant User),multipleLookupValues,Airtable lookup; copy current value as-is; blank stays blank; do not recompute
engineer_expert_from_expert_users,fldXC8nCxM96eeHDo,Engineer/Expert (from Expert Users),multipleLookupValues,Airtable lookup; copy current value as-is; blank stays blank; do not recompute
referral_partner_from_referral_partner_user,fldxl5VM2lWxHcVCd,Referral Partner (from Referral Partner User),multipleLookupValues,Airtable lookup; copy current value as-is; blank stays blank; do not recompute
clg_staff_from_building_consult_user,fldy0upmglY8R8maO,CLG Staff (from Building Consult. User),multipleLookupValues,Airtable lookup; copy current value as-is; blank stays blank; do not recompute
clg_staff_from_referral_partner_user,fldQtNKbb02FzD9tI,CLG Staff (from Referral Partner User),multipleLookupValues,Airtable lookup; copy current value as-is; blank stays blank; do not recompute
clg_staff_from_engineer_expert_user,fldgmL4h4arDkMHxu,CLG Staff (from Engineer/Expert User),multipleLookupValues,Airtable lookup; copy current value as-is; blank stays blank; do not recompute
clg_staff_from_appraiser_user,fldnedr4so7TRTQqr,CLG Staff (from Appraiser User),multipleLookupValues,Airtable lookup; copy current value as-is; blank stays blank; do not recompute
pl_email,fldSYEmgq5duQJWSU,PL Email,formula,formula; dest exists; stay nullable until P37; do not recompute.
co_counsel_email,flddpl1aOOBnKP1K1,Co-Counsel Email,multipleLookupValues,Airtable lookup; copy current value as-is; blank stays blank; do not recompute
sol_deadline_notification,fld1JnMeZHvn2UASd,SOL Deadline Notification,formula,formula; dest exists; stay nullable until P37; do not recompute SOL/DOB.
co_counsel_email_text,fldvzcXKY3ma5qDFN,Co-Counsel Email (text),rollup,Airtable rollup; copy current value as-is; blank stays blank; do not recompute
f_60_day_notice_sent,fldrnef1jDxXD2VPF,60 day Notice Sent,checkbox,copy stored checkbox as-is; blank stays blank
f_60_day_notice_date,fldWeRwUjGc1rtj7Y,60 day Notice Date,date,copy stored date as-is; blank stays blank
appraiser_paid,fldX9s7j7vMxp3yts,Appraiser Paid,checkbox,copy stored checkbox as-is; blank stays blank
pa_fee,fldXC3k5xEATH7yBZ,PA Fee %,singleSelect,copy stored choice as-is; blank stays blank
check_1_pa_fee,fldhBExMhIEUV1dLd,Check (1) PA Fee %,percent,copy stored percent as-is; blank stays blank
check_3_pa_fee,fldMbQPMv6UfSlb5u,Check (3) PA Fee %,percent,copy stored percent as-is; blank stays blank
check_4_pa_fee,fldU2Je9Nm2gxaS4r,Check (4) PA Fee %,percent,copy stored percent as-is; blank stays blank
check_5_pa_fee,fldZNcqJQ13YTW48u,Check (5) PA Fee %,percent,copy stored percent as-is; blank stays blank
check_1_pa_invoice,fldcZxMBK0CR3ZNXL,Check (1) PA Invoice,currency,copy stored dollar as-is; blank stays blank; never invent a dollar
check_2_pa_invoice,fldulnB5S1HZmvSwI,Check (2) PA Invoice,currency,copy stored dollar as-is; blank stays blank; never invent a dollar
check_3_pa_invoice,fldDhKTJOt1UI0TXW,Check (3) PA Invoice,currency,copy stored dollar as-is; blank stays blank; never invent a dollar
check_4_pa_invoice,fldFb1IcTllR65fnW,Check (4) PA Invoice,currency,copy stored dollar as-is; blank stays blank; never invent a dollar
check_5_pa_invoice,fldVCJVgL4lAn3iKe,Check (5) PA Invoice,currency,copy stored dollar as-is; blank stays blank; never invent a dollar
check_2_pa_fee,fldinAslGelodpoCQ,Check (2) PA Fee %,percent,copy stored percent as-is; blank stays blank
check_1_pa_fee_percent,fldfjggx7Iz5ekBli,Check (1) PA Fee Percent.,formula,formula; dest exists; stay nullable until P37; do not recompute money.
check_2_pa_fee_percent,fld8GHLOfyfpZWS1Y,Check (2) PA Fee Percent.,formula,formula; dest exists; stay nullable until P37; do not recompute money.
check_3_pa_fee_percent,fldk2GtkftQRNFWzZ,Check (3) PA Fee Percent.,formula,formula; dest exists; stay nullable until P37; do not recompute money.
check_4_pa_fee_percent,fldEzbvgiwjPNu21o,Check (4) PA Fee Percent.,formula,formula; dest exists; stay nullable until P37; do not recompute money.
check_5_pa_fee_percent,fldFrVZbfT5m4PTFE,Check (5) PA Fee Percent.,formula,formula; dest exists; stay nullable until P37; do not recompute money.
sum_of_legal_fees,fldOMFDHfHd3mVy75,SUM of Legal Fees,formula,formula; dest exists; stay nullable until P37; do not recompute money.
sum_of_pa_fee_percent,fldG6bVobmkcuXc1D,SUM of PA Fee Percent,formula,formula; dest exists; stay nullable until P37; do not recompute money.
sum_of_client_net_disb,fldnobp4Q6TXZY7Sh,SUM of Client Net Disb.,formula,formula; dest exists; stay nullable until P37; do not recompute money.
sum_of_settle_client_net_disb,fldR3M81uhIcnF9nf,SUM of Settle. Client Net Disb.,formula,formula; dest exists; stay nullable until P37; do not recompute money.
sum_of_co_counsel_fee,fldrsiZ6WiM16ES4k,SUM of Co-Counsel Fee,formula,formula; dest exists; stay nullable until P37; do not recompute money.
sum_of_assoc_co_fee,fldWaO0HzR0ENUkVy,SUM of Assoc. Co Fee,formula,formula; dest exists; stay nullable until P37; do not recompute money.
sum_of_rs_fee,fldbiiyPcLbXXQM7m,SUM of RS Fee,formula,formula; dest exists; stay nullable until P37; do not recompute money.
sum_of_rp_fee_split_fee,fldIlptg4v7zKVdad,SUM of RP Fee Split Fee,formula,formula; dest exists; stay nullable until P37; do not recompute money.
sum_of_clg_net,fldiirJ4KcA9jIXXQ,SUM of CLG Net,formula,formula; dest exists; stay nullable until P37; do not recompute money.
accounting_next_steps,flduHNbSbrKDOqLqF,Accounting Next Steps,singleSelect,copy stored choice as-is; blank stays blank
insureds_appraiser_assigned,fldB0BgVXqUxpb3kz,Insured's Appraiser Assigned,lastModifiedTime,Airtable system/computed; copy current value as-is; blank stays blank; do not recompute
appraisal_completed_date_checkbox,fld8XtuIx9nCYYXuj,Appraisal Completed Date (checkbox),lastModifiedTime,Airtable system/computed; copy current value as-is; blank stays blank; do not recompute
days_pending_w_appraiser,fld7v2f7Q3Clwq4zp,Days Pending w/ Appraiser,formula,formula; dest exists; stay nullable until P37; do not recompute.
referral_partner_email_lookup,fldmhp5MboNvwwwMw,Referral Partner Email Lookup,multipleLookupValues,Airtable lookup; copy current value as-is; blank stays blank; do not recompute
diseng_email_to_rp_sent,fldUdgFz1aIkHQq9f,Diseng. Email to RP Sent,checkbox,copy stored checkbox as-is; blank stays blank
from_field_associated_client_cases,fldvNofjKcFW2iI58,From field: Associated Client Cases,multipleRecordLinks,copy linked record id(s) as-is; blank stays blank
appraiser_email,fldtRYIHzPRnolV4e,Appraiser Email,rollup,Airtable rollup; copy current value as-is; blank stays blank; do not recompute
clg_demo_staff_from_associate_counsel_portal_access,fldS57segDjUbhUvc,CLG Demo Staff (from Associate Counsel - Portal Access),multipleLookupValues,Airtable lookup; copy current value as-is; blank stays blank; do not recompute
associate_counsel_from_associate_counsel_portal_access,fldG8N5w8bx1Cj8ge,Associate Counsel (from Associate Counsel - Portal Access),multipleLookupValues,Airtable lookup; copy current value as-is; blank stays blank; do not recompute
clg_staff_from_associate_counsel_portal_access,fld0YweY8gU41jaAX,CLG Staff (from Associate Counsel - Portal Access),multipleLookupValues,Airtable lookup; copy current value as-is; blank stays blank; do not recompute
claim_tasks,fld0D2I0286AcI1AC,Claim Tasks,multipleRecordLinks,copy linked record id(s) as-is; blank stays blank
comments,fldNJyWVV8JiIE78v,💬 Comments,multipleRecordLinks,copy linked record id(s) as-is; blank stays blank
everson_files,fld6tNBTUqn0uANKk,Everson Files,singleSelect,copy stored choice as-is; blank stays blank
